Age,l(x),l(x),d(x),d(x)=l(x)-l(x+1),d(x),d(x)=l(x)-l(x+1),q(x),q(x)=d(x)/l(x),q(x),q(x)=d(x)/l(x),m(x),m(x)=d(x)/L(x),m(x),m(x)=d(x)/L(x),L(x),L(x)=l(x+1)+0.5*d(x),L(x)=(l(x)+l(x+1))/2,L(x),L(x)=l(x+1)+0.5*d(x),T(x),,,,T(x),,,e(x),e(x)=T(x)/l(x),e(x),
0,100000,100000,46.58390666,46.58390666,1039,1039,0.000465839,0.000465839,0.01039,0.01039,0.000465948,0.000465948,0.01044,0.01048944,99976.70805,99976.70805,99976.70805,99052,99480.5,3.30867E+14,3.30867E+14,3.30867E+14,-0.5," 7,182,893 "," 1,837,912 ",5344981,3308668659,3308668659,71.8,71.82893
1,99953.41609,98961,38.31421216,38.31421216,77,78,0.000383321,0.000383321,0.00078,0.000778084,0.000383394,0.000383394,0.00078,0.000778391,99934.25899,99934.25899,99934.25899,98922,98921.5,3.30867E+14,3.30867E+14,3.30867E+14,0,7083841,1738860,,3310210683,,71.6,
2,99915.10188,98883,34.22442268,34.22442268,53,53,0.000342535,0.000342535,0.00054,0.000535987,0.000342594,0.000342594,0.00054,0.000536128,99897.98967,99897.98967,99897.98967,98857,98856.5,3.30867E+14,3.30867E+14,3.30867E+14,0.5,6984919,1639938,,3311480041,,70.6,
3,99880.87746,98830,11.32133007,11.32133007,41,41,0.000113348,0.000113348,0.00042,0.000414854,0.000113355,0.000113355,0.00042,0.000414942,99875.21679,99875.21679,99875.21679,98809,98809.5,3.30867E+14,3.30867E+14,3.30867E+14,0,6886062,1541081,,3312614727,,69.7,
4,99869.55613,98789,11.4827128,11.4827128,34,35,0.000114977,0.000114977,0.00035,0.000344168,0.000114984,0.000114984,0.00035,0.000344231,99863.81477,99863.81477,99863.81477,98771,98771,3.30867E+14,3.30867E+14,3.30867E+14,0,6787252,1442272,,3312990248,,68.7,
5,99858.07342,98754,10.46473967,10.46473967,30,31,0.000104796,0.000104796,0.00031,0.000303785,0.000104802,0.000104802,0.00031,0.000303831,99852.84105,99852.84105,99852.84105,98739,98738,3.30867E+14,3.30867E+14,3.30867E+14,0.5,6688481,1343501,,3313371209,,67.7,
6,99847.60868,98723,8.199067145,8.199067145,27,27,8.21E-05,8.21158E-05,0.00028,0.000273492,8.21E-05,8.21192E-05,0.00028,0.000273529,99843.50914,99843.50914,99843.50914,98710,98709.5,3.30867E+14,3.30867E+14,3.30867E+14,0,6589742,1244762,,3313718472,,66.7,
7,99839.40961,98696,6.914612222,6.914612222,25,26,6.93E-05,6.92573E-05,0.00026,0.000253303,6.93E-05,6.92597E-05,0.00026,0.000253336,99835.9523,99835.9523,99835.9523,98683,98682.5,3.30867E+14,3.30867E+14,3.30867E+14,0,6491032,1146052,,3313990603,,65.8,
8,99832.495,98670,5.344577952,5.344577952,22,23,5.35E-05,5.35355E-05,0.00023,0.000222965,5.35E-05,5.35369E-05,0.00023,0.00022299,99829.82271,99829.82271,99829.82271,98659,98658,3.30867E+14,3.30867E+14,3.30867E+14,0,6392348,1047369,,3314220136,,64.8,
9,99827.15042,98647,5.554655528,5.554655528,19,19,5.56E-05,5.56427E-05,0.0002,0.000192606,5.56E-05,5.56443E-05,0.0002,0.000192625,99824.37309,99824.37309,99824.37309,98637,98637.5,3.30867E+14,3.30867E+14,3.30867E+14,0,6293689,948710,,3314397572,,63.8,
